GEO_COD	Cult_2010	Cult_2011	Cult_2012	Cult_2013	Cult_2014
3507506	21620	21517	22446	22747	22922
3507605	0	0	0	0	0
3507704	8121	8378	8487	8593	8697
3507753	2711	3176	3184	3168	3256
3507803	14282	14254	14359	14229	14283
3507902	28096	28371	28138	28520	30195
3508009	204	204	218	203	196
3508108	4635	4484	4749	5115	6292
3508207	10965	10814	10884	10941	11212
3508306	2042	2045	1961	1825	2328
3508405	0	0	0	0	0
3508504	0	0	0	0	0
3508603	0	0	0	0	0
3508702	572	662	519	495	508
3508801	29507	29562	29906	32176	34639
3508900	7714	7772	7456	7259	7227
3509007	0	0	0	0	0
3509205	0	0	0	0	0
3509254	0	0	0	0	0
3509304	7027	6931	7264	7384	7904
3509403	21586	21587	21831	21197	21579
3509452	945	914	914	914	480
3509502	2122	2136	2144	2034	2012
3509601	0	0	0	0	0
3509700	0	0	0	0	0
3509809	6950	6970	7033	7025	7943
3509908	0	0	0	0	0
3509957	0	0	0	0	0
3510005	23476	21335	22488	22777	23258
3510104	2627	2610	2622	2565	2604
3510153	3954	3745	3726	3828	3730
3510203	0	0	0	0	0
3510302	1393	1467	1489	1483	1440
3510401	21461	21501	21369	21249	21050
3510500	0	0	0	0	0
3510609	0	0	0	0	0
3510708	6267	7989	8953	11633	13308
3510807	17350	16852	16787	17072	17626
3510906	1267	1317	1486	1509	1490
3511102	16045	16121	16073	16025	16036
3511201	10903	10900	10837	10806	10816
3511300	6709	6776	6653	6678	6761
3511409	10249	10358	10651	11385	12778
3511508	3216	3107	3132	3089	3044
3511607	5782	5814	5633	5548	5233
3511706	8996	8916	8763	8656	8627
3511904	6366	6456	6531	6680	7097
3512001	23721	24278	24467	24509	25149
3512100	28963	29715	30233	32413	33315
3512209	972	962	997	1032	1126
3512308	1929	2010	2083	2176	2788
3512407	7486	7510	7424	7325	7324
3512506	9010	9353	9395	9741	10155
3512605	1528	1559	1562	1427	1067
3512704	4942	5067	5112	4749	4650
3512803	6731	6847	6820	6806	6773
3512902	8667	8959	9235	9848	11775
3513009	0	0	0	0	0
3513108	21575	21611	21485	21427	21603
3513207	1742	1901	2916	3274	3919
